Time,Upper Layer Temperature,Lower Layer Temperature,Layer Height,Upper Layer Volume,Pressure,Upper Layer Temperature,Lower Layer Temperature,Layer Height,Upper Layer Volume,Pressure,Upper Layer Temperature,Lower Layer Temperature,Layer Height,Upper Layer Volume,Pressure,HRR Door Jet Fires,HRR Door Jet Fires,HRR Door Jet Fires,HRR Door Jet Fires,Plume Entrainment Rate,Pyrolysis Rate,HRR,HRR Lower,HRR Upper,Flame Height,Convective HRR,Total Pyrolysate Released,Total Trace Species Released,Plume Entrainment Rate,Pyrolysis Rate,HRR,HRR Lower,HRR Upper,Flame Height,Convective HRR,Total Pyrolysate Released,Total Trace Species Released,
,Comp 1,Comp 1,Comp 1,Comp 1,Comp 1,Comp 2,Comp 2,Comp 2,Comp 2,Comp 2,Comp 3,Comp 3,Comp 3,Comp 3,Comp 3,Comp 1,Comp 2,Comp 3,Outside,bunsen,bunsen,bunsen,bunsen,bunsen,bunsen,bunsen,bunsen,bunsen,Wood_Wall,Wood_Wall,Wood_Wall,Wood_Wall,Wood_Wall,Wood_Wall,Wood_Wall,Wood_Wall,Wood_Wall,
s,C,C,m,m^3,Pa,C,C,m,m^3,Pa,C,C,m,m^3,Pa,W,W,W,W,kg/s,kg/s,W,W,W,m,W,kg,kg,kg/s,kg/s,W,W,W,m,W,kg,kg,
 0.000000E+00, 0.200000E+02, 0.200000E+02, 0.299970E+01, 0.750000E-02, 0.000000E+00, 0.200000E+02, 0.200000E+02, 0.299970E+01, 0.750000E-02, 0.000000E+00, 0.200000E+02, 0.200000E+02, 0.299970E+01, 0.750000E-02, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00,
 0.100000E+02, 0.243294E+02, 0.200242E+02, 0.273350E+01, 0.666246E+01,-0.913358E-03, 0.208225E+02, 0.200022E+02, 0.290176E+01, 0.245593E+01,-0.674535E-03, 0.200006E+02, 0.200000E+02, 0.299179E+01, 0.205369E+00,-0.517421E-02, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.926045E+00, 0.333333E-03, 0.166667E+05, 0.166667E+05, 0.000000E+00, 0.360153E+00, 0.111667E+05, 0.171257E-02, 0.000000E+00, 0.441443E+00, 0.690608E-04, 0.125000E+04, 0.125000E+04, 0.000000E+00, 0.000000E+00, 0.837500E+03, 0.354815E-03, 0.000000E+00,
 0.200000E+02, 0.277432E+02, 0.201034E+02, 0.240087E+01, 0.149782E+02,-0.359517E-02, 0.212785E+02, 0.200095E+02, 0.274660E+01, 0.633491E+01,-0.139684E-02, 0.200032E+02, 0.200000E+02, 0.298157E+01, 0.460743E+00,-0.473520E-02, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.918281E+00, 0.666667E-03, 0.333333E+05, 0.333333E+05, 0.000000E+00, 0.591514E+00, 0.223333E+05, 0.686267E-02, 0.000000E+00, 0.509423E+00, 0.138122E-03, 0.250000E+04, 0.250000E+04, 0.000000E+00, 0.293999E-01, 0.167500E+04, 0.142182E-02, 0.000000E+00,
 0.300000E+02, 0.314271E+02, 0.202484E+02, 0.208205E+01, 0.229488E+02,-0.854103E-02, 0.217188E+02, 0.200230E+02, 0.257924E+01, 0.105191E+02,-0.242844E-02, 0.201820E+02, 0.200000E+02, 0.296779E+01, 0.805314E+00,-0.389623E-02, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.818975E+00, 0.100000E-02, 0.500000E+05, 0.500000E+05, 0.000000E+00, 0.759753E+00, 0.335000E+05, 0.153407E-01, 0.000000E+00, 0.529486E+00, 0.207182E-03, 0.375000E+04, 0.375000E+04, 0.000000E+00, 0.660251E-01, 0.251250E+04, 0.317832E-02, 0.000000E+00,
 0.400000E+02, 0.355294E+02, 0.204690E+02, 0.180511E+01, 0.298723E+02,-0.180894E-01, 0.222344E+02, 0.200440E+02, 0.239672E+01, 0.150821E+02,-0.415630E-02, 0.205714E+02, 0.200001E+02, 0.294955E+01, 0.126123E+01,-0.263599E-02, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.707583E+00, 0.133333E-02, 0.666667E+05, 0.666667E+05, 0.000000E+00, 0.896796E+00, 0.446667E+05, 0.271182E-01, 0.000000E+00, 0.521769E+00, 0.276243E-03, 0.500000E+04, 0.500000E+04, 0.000000E+00, 0.930801E-01, 0.335000E+04, 0.561840E-02, 0.000000E+00,
 0.500000E+02, 0.401321E+02, 0.207631E+02, 0.161487E+01, 0.346283E+02,-0.358438E-01, 0.232152E+02, 0.200719E+02, 0.217668E+01, 0.205829E+02,-0.793482E-02, 0.210309E+02, 0.200002E+02, 0.292516E+01, 0.187106E+01, 0.532782E-04, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.633074E+00, 0.166667E-02, 0.833333E+05, 0.833333E+05, 0.000000E+00, 0.101450E+01, 0.558333E+05, 0.422843E-01, 0.000000E+00, 0.486978E+00, 0.345304E-03, 0.625000E+04, 0.625000E+04, 0.000000E+00, 0.114514E+00, 0.418750E+04, 0.876057E-02, 0.000000E+00,
 0.600000E+02, 0.452662E+02, 0.211115E+02, 0.150540E+01, 0.373649E+02,-0.593005E-01, 0.246473E+02, 0.201070E+02, 0.194154E+01, 0.264616E+02,-0.145827E-01, 0.216307E+02, 0.200004E+02, 0.289225E+01, 0.269381E+01, 0.477593E-02, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.598667E+00, 0.200000E-02, 0.100000E+06, 0.100000E+06, 0.000000E+00, 0.111879E+01, 0.670000E+05, 0.607838E-01, 0.000000E+00, 0.437626E+00, 0.414365E-03, 0.750000E+04, 0.750000E+04, 0.000000E+00, 0.132235E+00, 0.502500E+04, 0.125933E-01, 0.000000E+00,
 0.700000E+02, 0.505372E+02, 0.214742E+02, 0.145361E+01, 0.386598E+02,-0.861408E-01, 0.264183E+02, 0.201515E+02, 0.172035E+01, 0.319911E+02,-0.266850E-01, 0.223891E+02, 0.200008E+02, 0.284938E+01, 0.376541E+01, 0.114153E-01, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.581417E+00, 0.216667E-02, 0.108333E+06, 0.108333E+06, 0.000000E+00, 0.116703E+01, 0.725833E+05, 0.816661E-01, 0.000000E+00, 0.387282E+00, 0.483425E-03, 0.875000E+04, 0.875000E+04, 0.000000E+00, 0.147314E+00, 0.586250E+04, 0.171026E-01, 0.000000E+00,
 0.800000E+02, 0.556020E+02, 0.218648E+02, 0.143427E+01, 0.391433E+02,-0.114791E+00, 0.283545E+02, 0.202113E+02, 0.152793E+01, 0.368018E+02,-0.444555E-01, 0.232664E+02, 0.200016E+02, 0.279637E+01, 0.509081E+01, 0.194368E-01, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.582176E+00, 0.233333E-02, 0.116667E+06, 0.116667E+06, 0.000000E+00, 0.121309E+01, 0.781667E+05, 0.104235E+00, 0.000000E+00, 0.343073E+00, 0.552486E-03, 0.100000E+05, 0.100000E+05, 0.000000E+00, 0.160418E+00, 0.670000E+04, 0.223108E-01, 0.000000E+00,
 0.900000E+02, 0.604777E+02, 0.222528E+02, 0.142617E+01, 0.393458E+02,-0.142410E+00, 0.302897E+02, 0.202911E+02, 0.136500E+01, 0.408751E+02,-0.668746E-01, 0.242013E+02, 0.200026E+02, 0.273372E+01, 0.665689E+01, 0.281011E-01, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.588102E+00, 0.248878E-02, 0.124439E+06, 0.124439E+06, 0.000000E+00, 0.125431E+01, 0.833743E+05, 0.128474E+00, 0.000000E+00, 0.306295E+00, 0.621547E-03, 0.112500E+05, 0.112500E+05, 0.000000E+00, 0.171989E+00, 0.753750E+04, 0.282139E-01, 0.000000E+00,
 0.100000E+03, 0.645490E+02, 0.226196E+02, 0.142106E+01, 0.394734E+02,-0.172493E+00, 0.320823E+02, 0.204015E+02, 0.122867E+01, 0.442832E+02,-0.102611E+00, 0.251256E+02, 0.200042E+02, 0.266274E+01, 0.843141E+01, 0.360692E-01, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.580109E+00, 0.242055E-02, 0.120867E+06, 0.120867E+06, 0.000000E+00, 0.123557E+01, 0.809812E+05, 0.153001E+00, 0.000000E+00, 0.276498E+00, 0.690608E-03, 0.125000E+05, 0.125000E+05, 0.000000E+00, 0.182336E+00, 0.837500E+04, 0.347933E-01, 0.000000E+00,
 0.110000E+03, 0.673989E+02, 0.229853E+02, 0.141359E+01, 0.396604E+02,-0.201309E+00, 0.336946E+02, 0.205524E+02, 0.112266E+01, 0.469335E+02,-0.141975E+00, 0.259909E+02, 0.200062E+02, 0.258500E+01, 0.103750E+02, 0.432057E-01, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.571246E+00, 0.235418E-02, 0.117554E+06, 0.117554E+06, 0.000000E+00, 0.121788E+01, 0.787609E+05, 0.176842E+00, 0.000000E+00, 0.254946E+00, 0.759669E-03, 0.137500E+05, 0.137500E+05, 0.000000E+00, 0.191682E+00, 0.921250E+04, 0.420774E-01, 0.000000E+00,
 0.120000E+03, 0.692613E+02, 0.233599E+02, 0.140357E+01, 0.399106E+02,-0.229719E+00, 0.351433E+02, 0.207512E+02, 0.104347E+01, 0.489132E+02,-0.181513E+00, 0.267798E+02, 0.200087E+02, 0.250169E+01, 0.124578E+02, 0.494711E-01, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.561064E+00, 0.228963E-02, 0.114330E+06, 0.114330E+06, 0.000000E+00, 0.120038E+01, 0.766014E+05, 0.200027E+00, 0.000000E+00, 0.240565E+00, 0.828729E-03, 0.150000E+05, 0.150000E+05, 0.000000E+00, 0.200195E+00, 0.100500E+05, 0.500537E-01, 0.000000E+00,
 0.130000E+03, 0.703798E+02, 0.237336E+02, 0.139242E+01, 0.401895E+02,-0.257080E+00, 0.364490E+02, 0.209994E+02, 0.985708E+00, 0.503573E+02,-0.219620E+00, 0.274901E+02, 0.200119E+02, 0.241376E+01, 0.146559E+02, 0.549147E-01, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.550394E+00, 0.222686E-02, 0.111196E+06, 0.111196E+06, 0.000000E+00, 0.118308E+01, 0.745012E+05, 0.222577E+00, 0.000000E+00, 0.231779E+00, 0.897790E-03, 0.162500E+05, 0.162500E+05, 0.000000E+00, 0.208004E+00, 0.108875E+05, 0.587206E-01, 0.000000E+00,
 0.140000E+03, 0.709623E+02, 0.240924E+02, 0.138122E+01, 0.404695E+02,-0.282627E+00, 0.376294E+02, 0.212925E+02, 0.944607E+00, 0.513848E+02,-0.255287E+00, 0.281249E+02, 0.200157E+02, 0.232199E+01, 0.169502E+02, 0.596189E-01, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.539865E+00, 0.216580E-02, 0.108147E+06, 0.108147E+06, 0.000000E+00, 0.116598E+01, 0.724585E+05, 0.244509E+00, 0.000000E+00, 0.227272E+00, 0.966851E-03, 0.175000E+05, 0.175000E+05, 0.000000E+00, 0.215211E+00, 0.117250E+05, 0.680781E-01, 0.000000E+00,
 0.150000E+03, 0.711684E+02, 0.244236E+02, 0.137056E+01, 0.407360E+02,-0.305797E+00, 0.386985E+02, 0.216225E+02, 0.916409E+00, 0.520898E+02,-0.287922E+00, 0.286897E+02, 0.200201E+02, 0.222698E+01, 0.193256E+02, 0.636709E-01, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.529799E+00, 0.210642E-02, 0.105182E+06, 0.105182E+06, 0.000000E+00, 0.114906E+01, 0.704719E+05, 0.265839E+00, 0.000000E+00, 0.226060E+00, 0.103591E-02, 0.187500E+05, 0.187500E+05, 0.000000E+00, 0.221895E+00, 0.125625E+05, 0.781263E-01, 0.000000E+00,
 0.160000E+03, 0.711138E+02, 0.247180E+02, 0.136068E+01, 0.409831E+02,-0.326282E+00, 0.396686E+02, 0.219785E+02, 0.898240E+00, 0.525440E+02,-0.317258E+00, 0.291911E+02, 0.200253E+02, 0.212921E+01, 0.217697E+02, 0.671506E-01, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.520311E+00, 0.204867E-02, 0.102298E+06, 0.102298E+06, 0.000000E+00, 0.113233E+01, 0.685397E+05, 0.286584E+00, 0.000000E+00, 0.227425E+00, 0.110497E-02, 0.200000E+05, 0.200000E+05, 0.000000E+00, 0.228123E+00, 0.134000E+05, 0.888650E-01, 0.000000E+00,
 0.170000E+03, 0.708804E+02, 0.249703E+02, 0.135163E+01, 0.412094E+02,-0.343976E+00, 0.405511E+02, 0.223496E+02, 0.887861E+00, 0.528035E+02,-0.343379E+00, 0.296354E+02, 0.200312E+02, 0.202910E+01, 0.242726E+02, 0.701215E-01, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.511416E+00, 0.199250E-02, 0.994933E+05, 0.994933E+05, 0.000000E+00, 0.111578E+01, 0.666605E+05, 0.306761E+00, 0.000000E+00, 0.230827E+00, 0.117403E-02, 0.212500E+05, 0.212500E+05, 0.000000E+00, 0.233949E+00, 0.142375E+05, 0.100294E+00, 0.000000E+00,
 0.180000E+03, 0.705267E+02, 0.251759E+02, 0.134358E+01, 0.414106E+02,-0.358753E+00, 0.413579E+02, 0.227260E+02, 0.883157E+00, 0.529211E+02,-0.367745E+00, 0.300290E+02, 0.200378E+02, 0.192978E+01, 0.267554E+02, 0.715576E-01, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.503185E+00, 0.193787E-02, 0.967654E+05, 0.967654E+05, 0.000000E+00, 0.109941E+01, 0.648328E+05, 0.326388E+00, 0.000000E+00, 0.235737E+00, 0.124309E-02, 0.225000E+05, 0.225000E+05, 0.000000E+00, 0.239417E+00, 0.150750E+05, 0.112410E+00, 0.000000E+00,
 0.190000E+03, 0.700911E+02, 0.253348E+02, 0.133653E+01, 0.415867E+02,-0.370820E+00, 0.421005E+02, 0.230976E+02, 0.882604E+00, 0.529349E+02,-0.389963E+00, 0.303821E+02, 0.200452E+02, 0.183973E+01, 0.290068E+02, 0.698622E-01, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.495603E+00, 0.188474E-02, 0.941123E+05, 0.941123E+05, 0.108420E-10, 0.108323E+01, 0.630552E+05, 0.345474E+00, 0.000000E+00, 0.241781E+00, 0.131215E-02, 0.237500E+05, 0.237500E+05, 0.000000E+00, 0.244566E+00, 0.159125E+05, 0.125219E+00, 0.000000E+00,
 0.200000E+03, 0.695980E+02, 0.254519E+02, 0.133023E+01, 0.417442E+02,-0.380540E+00, 0.427879E+02, 0.234549E+02, 0.885403E+00, 0.528649E+02,-0.409768E+00, 0.307054E+02, 0.200534E+02, 0.175972E+01, 0.310070E+02, 0.659754E-01, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.488513E+00, 0.183306E-02, 0.915319E+05, 0.915319E+05, 0.108420E-10, 0.106723E+01, 0.613264E+05, 0.364037E+00, 0.000000E+00, 0.248782E+00, 0.138122E-02, 0.250000E+05, 0.250000E+05, 0.000000E+00, 0.249428E+00, 0.167500E+05, 0.138720E+00, 0.000000E+00,
 0.210000E+03, 0.690650E+02, 0.255323E+02, 0.132450E+01, 0.418875E+02,-0.388235E+00, 0.434278E+02, 0.237907E+02, 0.890863E+00, 0.527284E+02,-0.427184E+00, 0.310058E+02, 0.200621E+02, 0.168936E+01, 0.327660E+02, 0.606766E-01, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.481817E+00, 0.178280E-02, 0.890223E+05, 0.890223E+05, 0.000000E+00, 0.105140E+01, 0.596450E+05, 0.382090E+00, 0.000000E+00, 0.256585E+00, 0.145028E-02, 0.262500E+05, 0.262500E+05, 0.000000E+00, 0.254029E+00, 0.175875E+05, 0.152911E+00, 0.000000E+00,
 0.220000E+03, 0.685050E+02, 0.255812E+02, 0.131923E+01, 0.420192E+02,-0.394185E+00, 0.440269E+02, 0.241001E+02, 0.898369E+00, 0.525408E+02,-0.442330E+00, 0.312882E+02, 0.200716E+02, 0.162788E+01, 0.343029E+02, 0.545561E-01, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.475446E+00, 0.173392E-02, 0.865815E+05, 0.865815E+05, 0.000000E+00, 0.103575E+01, 0.580096E+05, 0.399649E+00, 0.000000E+00, 0.265042E+00, 0.151934E-02, 0.275000E+05, 0.275000E+05, 0.000000E+00, 0.258395E+00, 0.184250E+05, 0.167792E+00, 0.000000E+00,
 0.230000E+03, 0.679272E+02, 0.256030E+02, 0.131434E+01, 0.421414E+02,-0.398639E+00, 0.445909E+02, 0.243801E+02, 0.907375E+00, 0.523156E+02,-0.455388E+00, 0.315561E+02, 0.200816E+02, 0.157438E+01, 0.356405E+02, 0.480463E-01, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.469349E+00, 0.168638E-02, 0.842077E+05, 0.842077E+05, 0.000000E+00, 0.102027E+01, 0.564191E+05, 0.416727E+00, 0.000000E+00, 0.274010E+00, 0.158840E-02, 0.287500E+05, 0.287500E+05, 0.000000E+00, 0.262545E+00, 0.192625E+05, 0.183364E+00, 0.000000E+00,
 0.240000E+03, 0.673379E+02, 0.256019E+02, 0.130975E+01, 0.422561E+02,-0.401818E+00, 0.451243E+02, 0.246297E+02, 0.917406E+00, 0.520648E+02,-0.466570E+00, 0.318121E+02, 0.200921E+02, 0.152792E+01, 0.368020E+02, 0.414527E-01, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.463484E+00, 0.164014E-02, 0.818989E+05, 0.818989E+05, 0.108420E-10, 0.100496E+01, 0.548723E+05, 0.433336E+00, 0.000000E+00, 0.283357E+00, 0.165746E-02, 0.300000E+05, 0.300000E+05, 0.000000E+00, 0.266498E+00, 0.201000E+05, 0.199627E+00, 0.000000E+00,
 0.250000E+03, 0.667420E+02, 0.255817E+02, 0.130540E+01, 0.423649E+02,-0.403919E+00, 0.456312E+02, 0.248491E+02, 0.928060E+00, 0.517985E+02,-0.476103E+00, 0.320582E+02, 0.201031E+02, 0.148763E+01, 0.378093E+02, 0.349857E-01, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.457811E+00, 0.159518E-02, 0.796534E+05, 0.796534E+05, 0.000000E+00, 0.989823E+00, 0.533678E+05, 0.449490E+00, 0.000000E+00, 0.292963E+00, 0.172652E-02, 0.312500E+05, 0.312500E+05, 0.000000E+00, 0.270269E+00, 0.209375E+05, 0.216580E+00, 0.000000E+00,
 0.260000E+03, 0.661426E+02, 0.255453E+02, 0.130122E+01, 0.424694E+02,-0.405116E+00, 0.461146E+02, 0.250396E+02, 0.939002E+00, 0.515250E+02,-0.484214E+00, 0.322957E+02, 0.201146E+02, 0.145270E+01, 0.386826E+02, 0.287833E-01, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.452295E+00, 0.155144E-02, 0.774695E+05, 0.774695E+05, 0.000000E+00, 0.974852E+00, 0.519045E+05, 0.465201E+00, 0.000000E+00, 0.302720E+00, 0.179558E-02, 0.325000E+05, 0.325000E+05, 0.000000E+00, 0.273873E+00, 0.217750E+05, 0.234224E+00, 0.000000E+00,
 0.270000E+03, 0.655423E+02, 0.254956E+02, 0.129716E+01, 0.425710E+02,-0.405563E+00, 0.465776E+02, 0.252030E+02, 0.949963E+00, 0.512509E+02,-0.491120E+00, 0.325259E+02, 0.201264E+02, 0.142243E+01, 0.394393E+02, 0.229331E-01, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.446904E+00, 0.150890E-02, 0.753454E+05, 0.753454E+05, 0.000000E+00, 0.960047E+00, 0.504814E+05, 0.480481E+00, 0.000000E+00, 0.312536E+00, 0.186464E-02, 0.337500E+05, 0.337500E+05, 0.000000E+00, 0.277322E+00, 0.226125E+05, 0.252559E+00, 0.000000E+00,
 0.280000E+03, 0.649426E+02, 0.254347E+02, 0.129316E+01, 0.426711E+02,-0.405392E+00, 0.470225E+02, 0.253417E+02, 0.960737E+00, 0.509816E+02,-0.497018E+00, 0.327495E+02, 0.201387E+02, 0.139621E+01, 0.400948E+02, 0.174866E-01, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.441608E+00, 0.146753E-02, 0.732796E+05, 0.732796E+05, 0.000000E+00, 0.945405E+00, 0.490974E+05, 0.495342E+00, 0.000000E+00, 0.322331E+00, 0.193370E-02, 0.350000E+05, 0.350000E+05, 0.000000E+00, 0.280627E+00, 0.234500E+05, 0.271584E+00, 0.000000E+00,
 0.290000E+03, 0.643451E+02, 0.253647E+02, 0.128916E+01, 0.427710E+02,-0.404718E+00, 0.474503E+02, 0.254581E+02, 0.971068E+00, 0.507233E+02,-0.502125E+00, 0.329672E+02, 0.201512E+02, 0.137350E+01, 0.406625E+02, 0.124682E-01, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.436380E+00, 0.142729E-02, 0.712705E+05, 0.712705E+05, 0.000000E+00, 0.930925E+00, 0.477512E+05, 0.509796E+00, 0.000000E+00, 0.332004E+00, 0.200276E-02, 0.362500E+05, 0.362500E+05, 0.000000E+00, 0.283798E+00, 0.242875E+05, 0.291300E+00, 0.000000E+00,
 0.300000E+03, 0.637499E+02, 0.252875E+02, 0.128507E+01, 0.428732E+02,-0.403668E+00, 0.478556E+02, 0.255548E+02, 0.980257E+00, 0.504936E+02,-0.506816E+00, 0.331793E+02, 0.201641E+02, 0.135386E+01, 0.411534E+02, 0.787783E-02, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.431173E+00, 0.138816E-02, 0.693164E+05, 0.693164E+05, 0.000000E+00, 0.916605E+00, 0.464420E+05, 0.523853E+00, 0.000000E+00, 0.341268E+00, 0.207182E-02, 0.375000E+05, 0.375000E+05, 0.000000E+00, 0.286845E+00, 0.251250E+05, 0.311706E+00, 0.000000E+00,
 0.310000E+03, 0.631573E+02, 0.252048E+02, 0.128080E+01, 0.429799E+02,-0.402367E+00, 0.482405E+02, 0.256346E+02, 0.988331E+00, 0.502917E+02,-0.511213E+00, 0.333857E+02, 0.201772E+02, 0.133691E+01, 0.415773E+02, 0.371884E-02, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.425941E+00, 0.135010E-02, 0.674159E+05, 0.674159E+05, 0.000000E+00, 0.902444E+00, 0.451686E+05, 0.537525E+00, 0.000000E+00, 0.350112E+00, 0.214088E-02, 0.387500E+05, 0.387500E+05, 0.000000E+00, 0.289774E+00, 0.259625E+05, 0.332803E+00, 0.000000E+00,
 0.320000E+03, 0.625680E+02, 0.251178E+02, 0.127631E+01, 0.430923E+02,-0.400901E+00, 0.486090E+02, 0.256996E+02, 0.995439E+00, 0.501140E+02,-0.515382E+00, 0.335864E+02, 0.201906E+02, 0.132230E+01, 0.419424E+02,-0.130128E-04, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.420667E+00, 0.131308E-02, 0.655675E+05, 0.655675E+05, 0.000000E+00, 0.888439E+00, 0.439302E+05, 0.550822E+00, 0.000000E+00, 0.358576E+00, 0.220994E-02, 0.400000E+05, 0.400000E+05, 0.000000E+00, 0.292595E+00, 0.268000E+05, 0.354591E+00, 0.000000E+00,
 0.330000E+03, 0.619833E+02, 0.250273E+02, 0.127157E+01, 0.432108E+02,-0.399324E+00, 0.489642E+02, 0.257519E+02, 0.100171E+01, 0.499574E+02,-0.519381E+00, 0.337816E+02, 0.202041E+02, 0.130978E+01, 0.422554E+02,-0.332923E-02, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.415344E+00, 0.127708E-02, 0.637698E+05, 0.637698E+05, 0.000000E+00, 0.874589E+00, 0.427257E+05, 0.563755E+00, 0.000000E+00, 0.366695E+00, 0.227901E-02, 0.412500E+05, 0.412500E+05, 0.000000E+00, 0.295312E+00, 0.276375E+05, 0.377069E+00, 0.000000E+00,
 0.340000E+03, 0.614044E+02, 0.249339E+02, 0.126658E+01, 0.433354E+02,-0.397673E+00, 0.493093E+02, 0.257930E+02, 0.100725E+01, 0.498187E+02,-0.523260E+00, 0.339718E+02, 0.202179E+02, 0.129910E+01, 0.425225E+02,-0.624330E-02, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.409972E+00, 0.124207E-02, 0.620213E+05, 0.620213E+05, 0.000000E+00, 0.860893E+00, 0.415543E+05, 0.576333E+00, 0.000000E+00, 0.374506E+00, 0.234807E-02, 0.425000E+05, 0.425000E+05, 0.000000E+00, 0.297933E+00, 0.284750E+05, 0.400238E+00, 0.000000E+00,
 0.350000E+03, 0.608324E+02, 0.248381E+02, 0.126135E+01, 0.434663E+02,-0.395983E+00, 0.496471E+02, 0.258244E+02, 0.101219E+01, 0.496953E+02,-0.527054E+00, 0.341575E+02, 0.202318E+02, 0.129002E+01, 0.427496E+02,-0.878927E-02, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.404554E+00, 0.120801E-02, 0.603209E+05, 0.603209E+05, 0.000000E+00, 0.847347E+00, 0.404150E+05, 0.588566E+00, 0.000000E+00, 0.382046E+00, 0.241713E-02, 0.437500E+05, 0.437500E+05, 0.000000E+00, 0.300462E+00, 0.293125E+05, 0.424097E+00, 0.000000E+00,
 0.360000E+03, 0.602684E+02, 0.247405E+02, 0.125588E+01, 0.436031E+02,-0.394281E+00, 0.499797E+02, 0.258474E+02, 0.101662E+01, 0.495845E+02,-0.530799E+00, 0.343391E+02, 0.202458E+02, 0.128234E+01, 0.429415E+02,-0.109918E-01, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.399095E+00, 0.117489E-02, 0.586670E+05, 0.586670E+05, 0.000000E+00, 0.833952E+00, 0.393069E+05, 0.600464E+00, 0.000000E+00, 0.389350E+00, 0.248619E-02, 0.450000E+05, 0.450000E+05, 0.000000E+00, 0.302906E+00, 0.301500E+05, 0.448647E+00, 0.000000E+00,
 0.370000E+03, 0.597135E+02, 0.246413E+02, 0.125017E+01, 0.437457E+02,-0.392585E+00, 0.503091E+02, 0.258628E+02, 0.102062E+01, 0.494845E+02,-0.534516E+00, 0.345173E+02, 0.202599E+02, 0.127594E+01, 0.431016E+02,-0.128605E-01, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.393599E+00, 0.114268E-02, 0.570585E+05, 0.570585E+05, 0.000000E+00, 0.820705E+00, 0.382292E+05, 0.612035E+00, 0.000000E+00, 0.396445E+00, 0.255525E-02, 0.462500E+05, 0.462500E+05, 0.000000E+00, 0.305268E+00, 0.309875E+05, 0.473888E+00, 0.000000E+00,
